Datum;Athlet;Wochentag;Einheit_Des_Tages;Aktivitaet;Dauer_Minuten;Distanz_km;Fokus;Ø_Herzfrequenz;Max_Herzfrequenz;Kalorienverbrauch;Gefühl;Schmerzen;Kommentar;Intensitaet;Energielevel;Trainingszufriedenheit
2026-01-01;Anne Haug;Donnerstag;Einheit 1;Radfahren;99;47.7;Kraftausdauer;132.0;159.0;1357.0;Sehr gut;Keine;Kraftausdauer auf dem Rad.;;;
2026-01-01;Anne Haug;Donnerstag;Einheit 2;Laufen;57;10.9;Lockerer Lauf;147.0;175.0;694.0;Sehr gut;Keine;Lockerer Lauf Session.;;;
2026-01-01;Chrissie Wellington;Donnerstag;Einheit 1;Schwimmen;84;2.8;Technik;148.0;169.0;924.0;Gut;Leicht (Unterer Rücken);Technik-Training im Pool.;;;
2026-01-01;Chrissie Wellington;Donnerstag;Einheit 2;Radfahren;84;40.7;Intervalle;126.0;141.0;1129.0;Sehr gut;Keine;Intervalle auf dem Rad.;;;
2026-01-01;Daniela Ryf;Donnerstag;Einheit 1;Radfahren;119;54.1;Kraftausdauer;142.0;173.0;1388.0;Gut;Leicht (Oberschenkel);Kraftausdauer auf dem Rad.;;;
2026-01-01;Daniela Ryf;Donnerstag;Einheit 2;Radfahren;112;54.6;Grundlagenausdauer;132.0;159.0;1472.0;Müde;Leicht (Unterer Rücken);Grundlagenausdauer auf dem Rad.;;;
2026-01-01;Gustav Iden;Donnerstag;Einheit 1;Laufen;56;10.1;Long Run;158.0;190.0;775.0;Normal;Keine;Long Run Session.;;;
2026-01-01;Gustav Iden;Donnerstag;Einheit 2;Radfahren;91;41.6;Grundlagenausdauer;129.0;149.0;1204.0;Normal;Keine;Grundlagenausdauer auf dem Rad.;;;
2026-01-01;Jan Frodeno;Donnerstag;Einheit 1;Schwimmen;90;2.9;Ausdauer;148.0;166.0;834.0;Müde;Mittel (Knie);Ausdauer-Training im Pool.;;;
2026-01-01;Jan Frodeno;Donnerstag;Einheit 2;Schwimmen;72;4.0;Intervalle;154.0;179.0;837.0;Müde;Mittel (Achillessehne);Intervalle-Training im Pool.;;;
2026-01-01;Kristian Blummenfelt;Donnerstag;Einheit 1;Laufen;71;14.1;Long Run;160.0;183.0;867.0;Müde;Leicht (Knie);Long Run Session.;;;
2026-01-01;Kristian Blummenfelt;Donnerstag;Einheit 2;Schwimmen;86;3.3;Intervalle;152.0;170.0;971.0;Normal;Keine;Intervalle-Training im Pool.;;;
2026-01-01;Lucy Charles-Barclay;Donnerstag;Einheit 1;Laufen;48;10.0;Intervalle;157.0;186.0;599.0;Gut;Keine;Intervalle Session.;;;
2026-01-01;Lucy Charles-Barclay;Donnerstag;Einheit 2;Radfahren;103;53.0;Kraftausdauer;136.0;166.0;1167.0;Sehr gut;Keine;Kraftausdauer auf dem Rad.;;;
2026-01-01;Patrick Lange;Donnerstag;Einheit 1;Laufen;65;11.8;Intervalle;160.0;179.0;812.0;Müde;Mittel (Wade);Intervalle Session.;;;
2026-01-01;Patrick Lange;Donnerstag;Einheit 2;Radfahren;84;42.4;Grundlagenausdauer;132.0;151.0;1184.0;Gut;Keine;Grundlagenausdauer auf dem Rad.;;;
2026-01-02;Anne Haug;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-02;Chrissie Wellington;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-02;Daniela Ryf;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-02;Gustav Iden;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-02;Jan Frodeno;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-02;Kristian Blummenfelt;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-02;Lucy Charles-Barclay;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-02;Patrick Lange;Freitag;Einheit 1;Ruhetag;0;0.0;Erholung;0.0;0.0;0.0;Gut;Keine;Geplante Regeneration.;;;
2026-01-03;Anne Haug;Samstag;Einheit 1;Radfahren;232;107.5;Grundlagenausdauer;125.0;149.0;2671.0;Gut;Keine;Grundlagenausdauer auf dem Rad.;;;
2026-01-03;Anne Haug;Samstag;Einheit 2;Laufen;73;13.8;Tempolauf;147.0;163.0;989.0;Müde;Mittel (Unterer Rücken);Tempolauf Session.;;;
2026-01-03;Chrissie Wellington;Samstag;Einheit 1;Laufen;61;13.0;Intervalle;168.0;196.0;833.0;Normal;Keine;Intervalle Session.;;;
2026-01-03;Chrissie Wellington;Samstag;Einheit 2;Laufen;71;16.3;Intervalle;153.0;184.0;1065.0;Gut;Keine;Intervalle Session.;;;
